V_rest,V_peak,dVdt_max,Amplitude,DPA,APD80,APD50,APD30
-74.56468,22.134205,514.7764,96.69888,99.13,1.74,6.93,7.65
-80.129845,30.576654,516.5646,110.7065,99.17,2.27,13.14,14.07
-74.44012,28.452085,531.7726,102.892204,71.64,2.5300000000000002,16.490000000000002,17.67
-82.45379,34.542034,523.0242,116.99582,99.17,6.98,25.28,26.61
-84.50831,29.033676,510.15808,113.541985,99.12,2.07,12.68,13.5
-76.744354,29.119759,524.2795,105.86411,80.94,3.27,15.25,16.14
-83.67874,31.996998,523.52313,115.675735,83.39,5.25,24.13,25.650000000000002
-79.52428,34.045074,525.67926,113.56935,99.16,5.45,22.69,23.72
-72.65448,17.864737,517.3836,90.51922,99.16,2.56,7.96,8.77
-76.071236,26.80746,522.47845,102.87869,99.17,4.12,14.58,15.42
-81.94994,26.650986,520.1945,108.60093,98.92,4.74,16.6,17.56
-76.817795,27.272522,514.2998,104.09032,99.16,1.72,10.03,10.74
-79.830696,16.03431,516.2253,95.865005,57.39,2.9,8.72,9.81
-87.76737,26.174442,517.4537,113.94182,99.17,6.69,20.8,22.21
-80.41799,30.417706,524.0358,110.83569,99.17,6.5,22.29,23.52
-80.072136,23.017496,520.5882,103.08963,86.78,4.14,14.030000000000001,15.290000000000001
-72.41216,23.512613,526.2804,95.924774,99.06,3.41,11.77,12.61
-81.89623,30.015347,523.9812,111.911575,79.21000000000001,3.69,21.01,22.45
-75.58789,19.425707,515.8205,95.013596,99.17,2.9,9.26,10.06
-81.23357,30.64013,523.9031,111.873695,75.17,4.8100000000000005,21.400000000000002,22.44
-75.47723,15.944684,509.8652,91.42191,99.15,1.68,5.1000000000000005,5.7700000000000005
-85.11277,23.202415,509.64328,108.315186,61.65,2.16,8.89,9.73
-72.25482,24.475798,527.43414,96.73062,99.14,2.87,12.24,13.23
-72.686745,15.451663,510.2706,88.138405,99.17,1.79,5.07,5.5600000000000005
-78.27156,27.833378,512.9283,106.104935,99.16,1.97,11.08,11.74
-79.87473,30.467789,518.4832,110.34252,99.17,3.65,15.77,16.63
-86.52745,28.742617,519.0903,115.270065,99.17,4.93,19.240000000000002,20.57
-71.45797,32.11435,544.1612,103.57232,99.17,4.14,21.01,22.17
-83.04024,20.921421,514.7413,103.961655,49.89,2.73,9.41,10.44
-75.625206,31.324253,527.84125,106.94946,69.25,2.72,16.31,17.09
